topic: BenchmarkTest, threadCount 20, group: benchmark_consumer, suffix: false, filterType: null, expression: null, msgTraceEnable: false, aclEnable: false, reportInterval: 10000
Consumer Started.
Current Time: 2026-08-24 05:06:00,712 | Consume TPS: 6018 | AVG(B2C) RT(ms):   2.459 | AVG(S2C) RT(ms):   1.819 | MAX(B2C) RT(ms): 224 | MAX(S2C) RT(ms): 223 | Consume Fail: 0
Current Time: 2026-08-24 05:06:10,712 | Consume TPS: 6140 | AVG(B2C) RT(ms):   2.231 | AVG(S2C) RT(ms):   1.610 | MAX(B2C) RT(ms): 18 | MAX(S2C) RT(ms): 17 | Consume Fail: 0
Current Time: 2026-08-24 05:06:20,712 | Consume TPS: 5996 | AVG(B2C) RT(ms):   2.453 | AVG(S2C) RT(ms):   1.807 | MAX(B2C) RT(ms): 243 | MAX(S2C) RT(ms): 243 | Consume Fail: 0
Current Time: 2026-08-24 05:06:30,712 | Consume TPS: 6163 | AVG(B2C) RT(ms):   2.343 | AVG(S2C) RT(ms):   1.719 | MAX(B2C) RT(ms): 274 | MAX(S2C) RT(ms): 273 | Consume Fail: 0
Current Time: 2026-08-24 05:06:40,712 | Consume TPS: 6098 | AVG(B2C) RT(ms):   2.174 | AVG(S2C) RT(ms):   1.540 | MAX(B2C) RT(ms): 19 | MAX(S2C) RT(ms): 19 | Consume Fail: 0
Current Time: 2026-08-24 05:06:50,712 | Consume TPS: 6064 | AVG(B2C) RT(ms):   2.401 | AVG(S2C) RT(ms):   1.767 | MAX(B2C) RT(ms): 35 | MAX(S2C) RT(ms): 34 | Consume Fail: 0
Current Time: 2026-08-24 05:07:00,712 | Consume TPS: 6063 | AVG(B2C) RT(ms):   2.182 | AVG(S2C) RT(ms):   1.544 | MAX(B2C) RT(ms): 22 | MAX(S2C) RT(ms): 22 | Consume Fail: 0
Current Time: 2026-08-24 05:07:10,712 | Consume TPS: 6004 | AVG(B2C) RT(ms):   2.422 | AVG(S2C) RT(ms):   1.777 | MAX(B2C) RT(ms): 39 | MAX(S2C) RT(ms): 38 | Consume Fail: 0
Current Time: 2026-08-24 05:07:20,712 | Consume TPS: 6002 | AVG(B2C) RT(ms):   2.202 | AVG(S2C) RT(ms):   1.557 | MAX(B2C) RT(ms): 30 | MAX(S2C) RT(ms): 29 | Consume Fail: 0
Current Time: 2026-08-24 05:07:30,712 | Consume TPS: 6059 | AVG(B2C) RT(ms):   2.244 | AVG(S2C) RT(ms):   1.602 | MAX(B2C) RT(ms): 32 | MAX(S2C) RT(ms): 31 | Consume Fail: 0
Current Time: 2026-08-24 05:07:40,712 | Consume TPS: 6112 | AVG(B2C) RT(ms):   2.178 | AVG(S2C) RT(ms):   1.549 | MAX(B2C) RT(ms): 369 | MAX(S2C) RT(ms): 369 | Consume Fail: 0
Current Time: 2026-08-24 05:07:50,712 | Consume TPS: 6093 | AVG(B2C) RT(ms):   2.155 | AVG(S2C) RT(ms):   1.519 | MAX(B2C) RT(ms): 20 | MAX(S2C) RT(ms): 19 | Consume Fail: 0
Current Time: 2026-08-24 05:08:00,712 | Consume TPS: 6113 | AVG(B2C) RT(ms):   2.379 | AVG(S2C) RT(ms):   1.745 | MAX(B2C) RT(ms): 35 | MAX(S2C) RT(ms): 34 | Consume Fail: 0
Current Time: 2026-08-24 05:08:10,712 | Consume TPS: 6109 | AVG(B2C) RT(ms):   2.159 | AVG(S2C) RT(ms):   1.519 | MAX(B2C) RT(ms): 69 | MAX(S2C) RT(ms): 68 | Consume Fail: 0
Current Time: 2026-08-24 05:08:20,712 | Consume TPS: 5849 | AVG(B2C) RT(ms):   2.971 | AVG(S2C) RT(ms):   2.304 | MAX(B2C) RT(ms): 459 | MAX(S2C) RT(ms): 458 | Consume Fail: 0
Current Time: 2026-08-24 05:08:30,712 | Consume TPS: 6081 | AVG(B2C) RT(ms):   2.155 | AVG(S2C) RT(ms):   1.525 | MAX(B2C) RT(ms): 356 | MAX(S2C) RT(ms): 355 | Consume Fail: 0
