RESULT noxxh-fill-t1 fillrandom   :      11.858 micros/op 84332 ops/sec 237.157 seconds 20000000 operations;    9.3 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.910 micros/op 83963 ops/sec 238.199 seconds 20000000 operations;    9.3 MB/s
RESULT fullF-fill-t1 fillrandom   :      12.036 micros/op 83087 ops/sec 240.711 seconds 20000000 operations;    9.2 MB/s
RESULT noxxh-fill-t1 fillrandom   :      11.767 micros/op 84981 ops/sec 235.346 seconds 20000000 operations;    9.4 MB/s
RESULT noxxh-fill-t1 fillrandom   :      11.928 micros/op 83836 ops/sec 238.560 seconds 20000000 operations;    9.3 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.806 micros/op 84699 ops/sec 236.128 seconds 20000000 operations;    9.4 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.817 micros/op 84620 ops/sec 236.350 seconds 20000000 operations;    9.4 MB/s
RESULT noxxh-fill-t1 fillrandom   :      11.665 micros/op 85728 ops/sec 233.296 seconds 20000000 operations;    9.5 MB/s
RESULT noxxh-fill-t1 fillrandom   :      11.922 micros/op 83878 ops/sec 238.440 seconds 20000000 operations;    9.3 MB/s
RESULT fullF-fill-t1 fillrandom   :      12.197 micros/op 81987 ops/sec 243.940 seconds 20000000 operations;    9.1 MB/s
RESULT W fillrandom   :      12.356 micros/op 80931 ops/sec 247.123 seconds 20000000 operations;    9.0 MB/s
RESULT W fillrandom   :      12.190 micros/op 82034 ops/sec 243.800 seconds 20000000 operations;    9.1 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.981 micros/op 83467 ops/sec 239.615 seconds 20000000 operations;    9.2 MB/s
RESULT nomemcmp-fill-t1 fillrandom   :      12.188 micros/op 82044 ops/sec 243.769 seconds 20000000 operations;    9.1 MB/s
RESULT nomemcmp-fill-t1 fillrandom   :      11.960 micros/op 83610 ops/sec 239.203 seconds 20000000 operations;    9.2 MB/s
RESULT fullF-fill-t1 fillrandom   :      12.259 micros/op 81572 ops/sec 245.181 seconds 20000000 operations;    9.0 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.966 micros/op 83567 ops/sec 239.328 seconds 20000000 operations;    9.2 MB/s
RESULT nomemcmp-fill-t1 fillrandom   :      12.080 micros/op 82784 ops/sec 241.592 seconds 20000000 operations;    9.2 MB/s
RESULT nomemcmp-fill-t1 fillrandom   :      12.534 micros/op 79782 ops/sec 250.681 seconds 20000000 operations;    8.8 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.665 micros/op 85727 ops/sec 233.297 seconds 20000000 operations;    9.5 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.868 micros/op 84262 ops/sec 237.354 seconds 20000000 operations;    9.3 MB/s
RESULT nomemcmp-fill-t1 fillrandom   :      11.917 micros/op 83914 ops/sec 238.339 seconds 20000000 operations;    9.3 MB/s
RESULT nomemcmp-fill-t1 fillrandom   :      12.145 micros/op 82335 ops/sec 242.910 seconds 20000000 operations;    9.1 MB/s
RESULT fullF-fill-t1 fillrandom   :      11.738 micros/op 85194 ops/sec 234.756 seconds 20000000 operations;    9.4 MB/s
